Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
Analysis of second malignancies after modern radiotherapy versus prostatectomy for localized prostate cancer.,"Huang, Jiayi; Kestin, Larry L; Ye, Hong; Wallace, Michelle; Martinez, Alvaro A; Vicini, Frank A","PURPOSE: To clarify the risk of developing second primary cancers (SPCs) after radiotherapy (RT) versus prostatectomy for localized prostate cancer (PCa) in the modern era., METHODS: The RT cohort consisted of 2120 patients matched on a 1:1 basis with surgical patients according to age and follow-up time. RT techniques consisted of conventional or two-dimensional RT (2DRT, 36%), three-dimensional conformal RT and/or intensity modulated RT (3DCRT/IMRT, 29%), brachytherapy (BT, 16%), and a combination of 2DRT and BT (BT boost, 19%)., RESULTS: The overall SPC risk was not significantly different between the matched-pair (HR 1.14, 95% CI 0.94-1.39), but the risk became significant >5years or >10years after RT (HR 1.86, 95% CI 1.36-2.55; HR 4.94, 95% CI 2.18-11.2, respectively). The most significant sites of increased risk were bladder, lymphoproliferative, and sarcoma. Of the different RT techniques, only 2DRT was associated with a significantly higher risk (HR 1.76, 95% CI 1.32-2.35), but not BT boost (HR 0.83, 95% CI 0.50-1.38), 3DCRT/IMRT (HR 0.81, 95% CI 0.55-1.21), or BT (HR 0.53, 95% CI 0.28-1.01)., CONCLUSIONS: Radiation-related SPC risk varies depending on the RT technique and may be reduced by using BT, BT boost, or 3DCRT/IMRT. Copyright A© 2010 Elsevier Ireland Ltd. All rights reserved.",2011,/,Radiotherapy and oncology : journal of the European Society for Therapeutic Radiology and Oncology,98,1,Jun-81,,https://dx.doi.org/10.1016/j.radonc.2010.09.012,20951450,#2920,Huang 2011,,
Association of colorectal cancer and prostate cancer and impact of radiation therapy.,"Huo, Dezheng; Hetzel, Jeremy T; Roy, Hemant; Rubin, David T","To quantify the risk of prostate cancer after colorectal cancer and the risk of colorectal cancer after prostate cancer and to examine the impact of radiation therapy on subsequent cancer risk, we conducted retrospective cohort studies using data from the Surveillance, Epidemiology and End Results program from 1973 to 2005. Standardized incidence ratios (SIR) and 95% confidence intervals (95% CI) were calculated, adjusting for age, ethnicity, and calendar year. The subsequent risk of developing a prostate cancer was significantly elevated in patients diagnosed with colon cancer before age 50 years (SIR, 1.38; 95% CI, 1.18-1.60). The risk of subsequent prostate cancer was decreased for men with rectal cancer who received radiation therapy (SIR, 0.57; 95% CI, 0.52-0.63). Interestingly, this beneficial effect of radiation therapy was only observed in the prostate-specific antigen (PSA) era (1988+). In addition, the prostate cancer cases developed in the radiation therapy group tended to have higher-grade, later-stage tumors, higher PSA levels, and worse survival than those developed in the nonradiation therapy group. In the cohort of prostate cancer patients, the risk of colon cancer was elevated in patients diagnosed with prostate cancer before age 50 years (SIR, 1.51; 95% CI, 1.03-2.20). In conclusion, a diagnosis of colon or prostate cancer in men of younger ages may be an indication for screening of prostate or colon cancer, respectively. The decreased prostate cancer risk in men who received radiation therapy for rectal cancer may be related to the use of PSA for prostate cancer screening or the cure of occult prostate cancer.",2009,/,"Cancer epidemiology, biomarkers & prevention : a publication of the American Association for Cancer Research, cosponsored by the American Society of Preventive Oncology",18,7,1979-85,,https://dx.doi.org/10.1158/1055-9965.EPI-09-0241,19531678,#2996,Huo 2009,,
Radiation therapy for prostate cancer increases the risk of subsequent rectal cancer.,"Margel, David; Baniel, Jack; Wasserberg, Nir; Bar-Chana, Micha; Yossepowitch, Ofer","PURPOSE: To assess whether radiation therapy for prostate cancer (PCa) increases the risk of metachronous rectal cancer (RCa) and compare outcomes of RCa after radiation therapy and surgery., PATIENTS AND METHODS: The Israel Cancer Registry was queried to identify patients with PCa and RCa diagnosed between 1982 and 2005. The age adjusted standardized incidence ratio (SIR) of RCa was defined as the ratio between the observed and expected (calculated) RCa cases and compared among the following: overall Israeli male population, patients with PCa treated with radiation therapy, patients with PCa treated surgically. The medical records of men diagnosed with RCa were reviewed and clinical characteristics retrieved., RESULTS: Of 29,593 men diagnosed with PCa, 2163 were treated with radiation therapy, 6762 were treated surgically and 20,068 patients were treated with either primary androgen deprivation therapy or offered watchful waiting. Of the entire study cohort, 194 (0.65%) patients were diagnosed with subsequent RCa. Compared to the overall male population and stratified by treatment modality, the risk of developing RCa after radiation therapy was significantly increased (SIR = 1.81, 95% CI 1.2-2.5), whereas it was not increased in those managed by surgery (SIR = 1.22, 95% CI 0.85-1.65). RCa after radiation therapy was diagnosed at a more advanced stage, translating into inferior disease specific survival., CONCLUSIONS: Compared to men diagnosed with PCa managed by surgery, we observed an increased risk of RCa in patients treated with radiation therapy. Further studies are needed to validate these findings and assess whether routine colonoscopic surveillance is warranted after pelvic radiation.",2011,/,Annals of surgery,254,6,947-50,,https://dx.doi.org/10.1097/SLA.0b013e3182382fd5,22107741,#2898,Margel 2011,,
Cancer incidence after localized therapy for prostate cancer.,"Moon, Kihyuck; Stukenborg, George J; Keim, Jessica; Theodorescu, Dan","BACKGROUND: Second cancers may occur in patients who have undergone radiation therapy. The risk for these adverse events after therapy is uncertain. In this study, the authors examined the size and significance of the observed association between occurrences of secondary cancers 5 years after radiotherapy in a large population of men with incident prostate cancer., METHODS: Men with incident prostate cancer were identified from the Surveillance, Epidemiology, and End Results (SEER) registry and were distinguished by the type of treatment received, tumor stage, tumor grade, and age at diagnosis. SEER data also were used to identify occurrences of secondary cancer beginning 5 years after the date patients were diagnosed with prostate cancer. Multivariate logistic regression analysis was used to estimate the adjusted odds of the subsequent occurrence of other cancers associated with types of radiation therapy received and was adjusted for the type of surgery, tumor grade, stage, and patient age., RESULTS: Compared with men who received no prostate cancer-directed radiation, men who received external beam radiation therapy (EBRT) as their only form of radiation therapy had statistically significant increased odds of developing secondary cancers at several sites potentially related to radiation therapy, including the bladder (odds ratio [OR], 1.63; 95% confidence interval [95% CI], 1.44-1.84) and rectum (OR, 1.60; 95% CI, 1.29-1.99). Men who received EBRT also had statistically significant higher odds of developing secondary cancers at sites in the upper body and other areas not potentially related to radiation therapy, including the cecum (OR, 1.63; 95% CI, 1.10-1.70), transverse colon (OR, 1.85; 95% CI, 1.30-2.63), brain (OR, 1.83; 95% CI, 1.22-2.75), stomach (OR, 1.38; 95% CI, 1.09-1.75), melanoma (OR, 1.29; 95% CI, 1.09-1.53), and lung and bronchus (OR, 1.25; 95% CI, 1.13-1.37) compared with the odds among men who received no radiation therapy. Men who received radiation therapy in the form of radioactive implants or isotopes, either in isolation or combined with beam radiation, did not have significantly different odds of secondary cancer occurring at any of the 20 most common sites., CONCLUSIONS: Patients who received with EBRT had significantly higher odds of developing second cancers both overall and in the areas that were exposed to radiation. It is noteworthy that, to the authors' knowledge, this report shows for the first time that, despite the higher doses of radiation delivered, patients who received radioactive implants had the lowest odds of developing second cancers.",2006,/,Cancer,107,5,991-8,,,16878323,#3122,Moon 2006,,
Incidence of complications other than urinary incontinence or erectile dysfunction after radical prostatectomy or radiotherapy for prostate cancer: a population-based cohort study.,"Nam, Robert K; Cheung, Patrick; Herschorn, Sender; Saskin, Refik; Su, Jiandong; Klotz, Laurence H; Chang, Michelle; Kulkarni, Girish S; Lee, Yuna; Kodama, Ronald T; Narod, Steven A","BACKGROUND: Studies of complications resulting from surgery or radiotherapy for prostate cancer have mainly focused on incontinence and erectile dysfunction. We aimed to assess other important complications associated with these treatments for prostate cancer., METHODS: We did a population-based retrospective cohort study, in which we used administrative hospital data, physician billing codes, and cancer registry data for men who underwent either surgery or radiotherapy alone for prostate cancer between 2002 and 2009 in Ontario, Canada. We measured the 5-year cumulative incidence of five treatment-related complication endpoints: hospital admissions; urological, rectal, or anal procedures; open surgical procedures; and secondary malignancies., FINDINGS: In the 32 465 patients included in the study, the 5-year cumulative incidence of admission to hospital for a treatment-related complication was 22.2% (95% CI 21.7-22.7), but was 2.4% (2.2-2.6) for patients whose length of stay was longer than 1 day. The 5-year cumulative incidence of needing a urological procedure was 32.0% (95% CI 31.4-32.5), that of a rectal or anal procedure was 13.7% (13.3-14.1), and that of an open surgical procedure was 0.9% (0.8-1.1). The 5-year cumulative incidence of a second primary malignancy was 3.0% (2.6-3.5). These risks were significantly higher than were those of 32 465 matched controls with no history of prostate cancer. Older age and comorbidity at the time of index treatment were important predictors for a complication in all outcome categories, but the type of treatment received was the strongest predictor for complications. Patients who were given radiotherapy had higher incidence of complications for hospital admissions, rectal or anal procedures, open surgical procedures, and secondary malignancies at 5 years than did those who underwent surgery (adjusted hazard ratios 2.08-10.8, p<0.0001). However, the number of urological procedures was lower in the radiotherapy than in the surgery group (adjusted hazard ratio 0.66, 95% CI 0.63-0.69; p<0.0001) INTERPRETATION: Complications after prostate cancer treatment are frequent and dependent on age, comorbidity, and the type of treatment. Patients and physicians should be aware of these risks when choosing treatment for prostate cancer, and should balance them with the clinical effectiveness of each therapy., FUNDING: Ajmera Family Chair in Urologic Oncology. Copyright © 2014 Elsevier Ltd. All rights reserved.",2014,/,The Lancet. Oncology,15,2,223-31,,https://dx.doi.org/10.1016/S1470-2045(13)70606-5,24440474,#2778,Nam 2014,,
Radiation therapy for prostate cancer increases subsequent risk of bladder and rectal cancer: a population based cohort study.,"Nieder, Alan M; Porter, Michael P; Soloway, Mark S","PURPOSE: Pre-prostate specific antigen era series demonstrated an increased risk of bladder cancer and rectal cancer in men who received radiotherapy for prostate cancer. We estimated the risk of secondary bladder cancer and rectal cancer after prostate radiotherapy using a contemporary population based cohort., MATERIALS AND METHODS: We identified 243,082 men in the Surveillance, Epidemiology and End Results database who underwent radical prostatectomy or radiotherapy for prostate cancer between 1988 and 2003. We estimated the incidence rate, standardized incidence ratio and age adjusted incidence rate ratio of subsequent bladder cancer and rectal cancer associated with radical prostatectomy, external beam radiotherapy, brachytherapy, and a combination of external beam radiotherapy and brachytherapy., RESULTS: The relative risk of bladder cancer developing after external beam radiotherapy, brachytherapy and external beam radiotherapy-brachytherapy compared to radical prostatectomy was 1.88, 1.52 and 1.85, respectively. Compared to the general United States population the standardized incidence ratio for bladder cancer developing after radical prostatectomy, external beam radiotherapy, brachytherapy and external beam radiotherapy-brachytherapy was 0.99, 1.42, 1.10 and 1.39, respectively. The relative risk of rectal cancer developing after external beam radiotherapy, brachytherapy and external beam radiotherapy-brachytherapy compared to radical prostatectomy was 1.26, 1.08 and 1.21, respectively. The standardized incidence ratio for rectal cancer developing after radical prostatectomy, external beam radiotherapy, brachytherapy and external beam radiotherapy-brachytherapy was 0.91, 0.99, 0.68 and 0.86, respectively., CONCLUSIONS: Men who receive radiotherapy for localized prostate cancer have an increased risk of bladder cancer compared to patients undergoing radical prostatectomy and compared to the general population. The risk of rectal cancer is increased in patients who receive external beam radiotherapy compared to radical prostatectomy. Patients should be counseled appropriately regarding these risks.",2008,/,The Journal of urology,180,5,05-Oct,,https://dx.doi.org/10.1016/j.juro.2008.07.038,18801517,#3030,Nieder 2008,,
"The risk of second malignancy in men with prostate cancer treated with or without radiation in British Columbia, 1984-2000.","Pickles, Tom; Phillips, Norm","BACKGROUND AND PURPOSE: To describe the risk of second malignancy following a diagnosis of prostate cancer, in British Columbia (BC), Canada. To ascertain whether that risk changed with the use of radiation therapy., METHODS AND MATERIALS: All invasive cases of prostate cancer diagnosed from 1984 through to 2000 were retrieved from the BC Tumor Registry. Standardized incidence ratios (SIRs) were calculated from observed and expected numbers as a percentage. Patients were divided into those who received high-dose radiation therapy (>/=45 Gy, RT group) and those not treated with radiation (non-RT group)., RESULTS: Overall there was no significant difference between observed and expected second cancer rates, SIR=100 (RT group, N=101; non-RT group, N=98, P=n.s.). Individual tumour sites at significantly increased risk (P<0.01) included bladder (non-RT group, SIR=132), colo-rectal (RT group, SIR=121), pleura (RT group, SIR=228). Other sites of possible significance (P<0.05) include sarcoma (RT group, SIR=170) and testis (non-RT group, SIR=282)., CONCLUSIONS: Increased rates of bladder and testis cancers in the non-RT group are likely to be due to increased urologist surveillance and the use of therapeutic orchiectomy. Increased rates of colorectal cancer in those treated with radiation may be either due to surveillance or treatment. Increases in sarcomas in the RT group are probably treatment-related. Overall the increased second cancer risk for those undergoing radiation therapy was 1 in 220.",2002,/,Radiotherapy and oncology : journal of the European Society for Therapeutic Radiology and Oncology,65,3,145-51,,,12464442,#3239,Pickles 2002,,
Increasing age and treatment modality are predictors for subsequent diagnosis of bladder cancer following prostate cancer diagnosis.,"Singh, Anurag K; Mashtare, Terry L; McCloskey, Susan A; Seixas-Mikelus, Stefanie A; Kim, Hyung L; May, Kilian Salerno","PURPOSE: To determine the effect of prostate cancer therapy (surgery or external beam irradiation, or both or none) on the actuarial incidence of subsequent bladder cancer., METHODS AND MATERIALS: The Surveillance, Epidemiology, and End Results registry from 1973 to 2005 was analyzed. Treatment was stratified as radiotherapy, surgery, both surgery and adjuvant radiation, and neither modality. Brachytherapy was excluded., RESULTS: In all, 555,337 prostate carcinoma patients were identified; 124,141 patients were irradiated; 235,341 patients were treated surgically; 32,744 patients had both surgery and radiation; and 163,111 patients received neither modality. Bladder cancers were diagnosed in: 1,836 (1.48%) men who were irradiated (mean age, 69.4 years), 2,753 (1.09%) men who were treated surgically (mean age, 66.9 years); 683 (2.09%) men who received both modalities (mean age, 67.4 years), and 1,603 (0.98%) men who were treated with neither modality (mean age, 71.8 years). In each treatment cohort, Kaplan-Meier analyses showed that increasing age (by decade) was a significant predictor of developing bladder cancer (p < 0.0001). Incidence of bladder cancer was significantly different for either radiation or surgery alone versus no treatment, radiation versus surgery alone, and both surgery and radiation versus either modality alone (p < 0.0001). On multivariate analysis, age and irradiation were highly significant predictors of being diagnosed with bladder cancer., CONCLUSIONS: Following prostate cancer, increasing age and irradiation were highly significant predictors of being diagnosed with bladder cancer. While use of radiation increased the risk of bladder cancer compared to surgery alone or no treatment, the overall incidence of subsequent bladder cancer remained low. Routine bladder cancer surveillance is not warranted. Copyright © 2010 Elsevier Inc. All rights reserved.",2010,/,"International journal of radiation oncology, biology, physics",78,4,1086-94,,https://dx.doi.org/10.1016/j.ijrobp.2009.09.055,20350797,#2959,Singh 2010,,
"Incidence of second malignancies for prostate cancer in the canton of Zurich, 1980-2010",Van Hemelrijck M.; Feller A.; Gormo H.; Korol D.; Valeri F.; Dehler S.; Rohrmann S. ,"Introduction and Objectives: The number of men living with prostate cancer (PCa) is growing rapidly. It is of public health importance to assess risk of second primary cancers in these men, especially since it is thought that PCa treatment may be associated with an increased risk of second primary tumours. Moreover, this could lead to identification of potential underlying etiological mechanisms. Material(s) and Method(s): We calculated standardized incidence ratios (SIRs) for second primary tumours comparing men diagnosed with PCa between 1980 and 2010 in the Canton of Zurich, Switzerland (n = 20,559), and the general male population in the Canton. Result(s): A total of 1,718 men developed a second primary tumour after PCa diagnosis with lung and colon cancer being the most common, 15 and 13% respectively. The majority of men diagnosed with PCa were over 65 years old (76%) and had a grade II tumour (45%). Overall, there was an increased risk of a second primary tumour among men with PCa, compared to the general population (SIR: 1.11 (95% CI: 1.06-1.17)). Site-specific SIRs varied from 1.19 (1.05-1.34) to 2.89 (2.62-4.77) for lung and thyroid cancer, respectively. When stratified by treatment, the highest SIR was observed for thyroid cancer and (3.57 (1.30-7.76)) when undergoing surgery, whereas liver cancer was most common when treated with radiotherapy (3.21 (1.54-5.90) and kidney bladder was most prevalent for those on hormonal treatment (3.15 (1.93- 4.87). Stratification by tumour grade showed an SIR for all cancers of 1.28 (1.17- 1.40) for men with a grade I tumour, 1.10 (1.02-1.18) for men with a grade II tumour, and 1.03 (0.91-1.15) for those with a grade III/IV tumour. For PCas diagnosed prior to 1995, the SIR for a second primary tumour was 1.05 (0.98-1.12), whereas it was 1.17 (1.10-1.25) for those diagnosed from 1995 onwards. To assess diagnostic activity we performed a sensitivity analysis excluding those PCa men with follow-up <6 months, which resulted in a SIR for a second primary tumour of 1.03 (0.97-1.08). Statistically significant SIRs >1.5 were observed for cancer of oesophagus, colon, gallbladder, pancreas, bladder, melanoma, brain, thyroid, non-hodgkin, and leukemia. Conclusion(s): In the Canton of Zurich, there was an increased risk of second primary cancers among men with PCa compared to the general population. Increased diagnostic activity after PCa diagnosis may partly explain increased risks within the first years of diagnosis, but our time-stratified analyses indicated that these increased risks remained and even increased over time. These observations suggest a need for careful management of prostate cancer survivors.",2014,/,European Journal of Cancer,50,SUPPL. 5,S230-S231,,https://dx.doi.org/10.1016/S0959-8049%2814%2950838-6,71548463,#3813,VanHemelrijck 2014,,
"Secondary cancers after intensity-modulated radiotherapy, brachytherapy and radical prostatectomy for the treatment of prostate cancer: incidence and cause-specific survival outcomes according to the initial treatment intervention.","Zelefsky, Michael J; Pei, Xin; Teslova, Tatiana; Kuk, Deborah; Magsanoc, Juan Martin; Kollmeier, Marisa; Cox, Brett; Zhang, Zhigang","UNLABELLED: Study Type--Therapy (case series) Level of Evidence 4 What's known on the subject? and What does the study add? Radiation Therapy for prostate cancer can increase the risk for the development of second cancers after treatment. This study highlights the fact that such second cancers within the pelvis do occur but are not as common as previously reported. In this report we also note that even among patients who develop second cancers, if detected earlier, the majority are alive 5 years after the diagnosis., OBJECTIVE: * To report on the incidence of secondary malignancy (SM) development after external beam radiotherapy (EBRT) and brachytherapy (BT) for prostate cancer and to compare this with a cohort contemporaneously treated with radical prostatectomy (RP)., MATERIALS AND METHODS: * Between 1998 and 2001, 2658 patients with localized prostate cancer were treated with RP (n = 1348), EBRT (n = 897) or BT (n = 413). * Using the RP cohort as a control we compared the incidence of SMs, such as rectal or bladder cancers noted within the pelvis, and the incidence of extrapelvic SMs., RESULTS: * The 10-year SM-free survival for the RP, BT and EBRT cohorts were 89%, 87%, and 83%, respectively (RP vs EBRT, P = 0.002; RP vs BT, P = 0.37). * The 10-year likelihoods for bladder or colorectal cancer SM development in the RP, BT and EBRT groups were 3%, 2% and 4%, respectively (P = 0.29). * Multivariate analysis of predictors for development of all SMs showed that older age (P = 0.01) and history of smoking (P < 0.001) were significant predictors for the development of a SM, while treatment intervention was not found to be a significant variable. * Among 243 patients who developed a SM, the 5-year likelihood of SM-related mortality among patients with SMs in the EBRT and BT groups was 43.7% and 15.6%, respectively, compared with 26.3% in the RP cohort; P = 0.052)., CONCLUSIONS: * The incidence of SM after radiotherapy was not significantly different from that after RP when adjusted for patient age and smoking history. * The incidence of bladder and rectal cancers was low for both EBRT- and BT-treated patients. * Among patients who developed a SM, the likelihood of mortality related to the SM was not significantly different among the treatment cohorts. Copyright © 2012 BJU INTERNATIONAL.",2012,/,BJU international,110,11,1696-701,,https://dx.doi.org/10.1111/j.1464-410X.2012.11385.x,22889401,#2850,Zelefsky 2012,,
Increased risk of colon cancer after external radiation therapy for prostate cancer.,"Rapiti, Elisabetta; Fioretta, Gerald; Verkooijen, Helena M; Zanetti, Roberto; Schmidlin, Franz; Shubert, Hyma; Merglen, Arnaud; Miralbell, Raymond; Bouchardy, Christine","Radiotherapy can induce second cancers. Controversies still exist regarding the risk of second malignancies after irradiation for prostate cancer. We evaluated the risk of developing colon and rectum cancers after prostate cancer in irradiated and nonirradiated patients. Using data from the population-based Geneva cancer registry, we included in the study all men with prostate cancer diagnosed between 1980 and 1998 who survived at least 5 years after diagnosis. Of the 1,134 patients, 264 were treated with external radiotherapy. Patients were followed for occurrence of colorectal cancer up to 31 December, 2003. We calculated standardized incidence ratios (SIR) using incidence rates for the general population to obtain the expected cancer incidence. The cohort yielded to 3,798 person-years. At the end of follow-up 19 patients had developed a colorectal cancer. Among irradiated patients the SIR for colorectal cancer was 3.4 (95% confidence intervals [CI] 1.7-6.0). Compared to the general population, the risk was significantly higher for colon cancer (SIR = 4.0, 95% CI: 1.8-7.6), but not for rectal cancer (SIR = 2.0, 95% CI: 0.2-7.2). The risk of colon cancer was increased in the period of 5-9 years after diagnosis (SIR = 4.7, 95% CI: 2.0-9.2). The overall SIR of secondary cancer in patients treated with radiotherapy was 1.35 (p = 0.056). Nonirradiated patients did not have any increased risk of rectal or colon cancer. This study shows a significant increase of colon but not rectum cancer after radiotherapy for prostate cancer. The risk of second cancer after irradiation, although probably small, needs nevertheless to be carefully monitored.",2008,/,International journal of cancer,123,5,1141-5,,https://dx.doi.org/10.1002/ijc.23601,18546265,#3041,Rapiti 2008,,
